LOCATION,Country,Indicator,Unit,Value
DEU,Germany,Household net financial wealth,US Dollar,49484
GRC,Greece,Household net financial wealth,US Dollar,14004
HUN,Hungary,Household net financial wealth,US Dollar,13652
ISL,Iceland,Household net financial wealth,US Dollar,43045
IRL,Ireland,Household net financial wealth,US Dollar,28099
ITA,Italy,Household net financial wealth,US Dollar,54147
JPN,Japan,Household net financial wealth,US Dollar,85309
KOR,Korea,Household net financial wealth,US Dollar,28290
LUX,Luxembourg,Household net financial wealth,US Dollar,57159
MEX,Mexico,Household net financial wealth,US Dollar,10449
NLD,Netherlands,Household net financial wealth,US Dollar,71073
NZL,New Zealand,Household net financial wealth,US Dollar,7480
NOR,Norway,Household net financial wealth,US Dollar,8365
POL,Poland,Household net financial wealth,US Dollar,10406
PRT,Portugal,Household net financial wealth,US Dollar,29640
SVK,Slovak Republic,Household net financial wealth,US Dollar,9651
ESP,Spain,Household net financial wealth,US Dollar,23920
SWE,Sweden,Household net financial wealth,US Dollar,55301
CHE,Switzerland,Household net financial wealth,US Dollar,100812
TUR,Turkey,Household net financial wealth,US Dollar,3317
GBR,United Kingdom,Household net financial wealth,US Dollar,60065
USA,United States,Household net financial wealth,US Dollar,132822
BRA,Brazil,Household net financial wealth,US Dollar,6875
CHL,Chile,Household net financial wealth,US Dollar,18141
EST,Estonia,Household net financial wealth,US Dollar,7843
ISR,Israel,Household net financial wealth,US Dollar,55932
RUS,Russia,Household net financial wealth,US Dollar,3331
SVN,Slovenia,Household net financial wealth,US Dollar,18912
AUS,Australia,Household net financial wealth,US Dollar,38482
AUT,Austria,Household net financial wealth,US Dollar,48125
BEL,Belgium,Household net financial wealth,US Dollar,78368
CAN,Canada,Household net financial wealth,US Dollar,63261
CZE,Czech Republic,Household net financial wealth,US Dollar,17875
DNK,Denmark,Household net financial wealth,US Dollar,39951
FIN,Finland,Household net financial wealth,US Dollar,20190
FRA,France,Household net financial wealth,US Dollar,47668
DEU,Germany,Household net financial wealth,US Dollar,49484
GRC,Greece,Household net financial wealth,US Dollar,14004
HUN,Hungary,Household net financial wealth,US Dollar,13652
ISL,Iceland,Household net financial wealth,US Dollar,43045
IRL,Ireland,Household net financial wealth,US Dollar,28099
ITA,Italy,Household net financial wealth,US Dollar,54147
JPN,Japan,Household net financial wealth,US Dollar,85309
KOR,Korea,Household net financial wealth,US Dollar,28290
LUX,Luxembourg,Household net financial wealth,US Dollar,57159
MEX,Mexico,Household net financial wealth,US Dollar,10449
NLD,Netherlands,Household net financial wealth,US Dollar,71073
NZL,New Zealand,Household net financial wealth,US Dollar,7480
NOR,Norway,Household net financial wealth,US Dollar,8365
POL,Poland,Household net financial wealth,US Dollar,10406
PRT,Portugal,Household net financial wealth,US Dollar,29640
SVK,Slovak Republic,Household net financial wealth,US Dollar,9651
ESP,Spain,Household net financial wealth,US Dollar,23920
SWE,Sweden,Household net financial wealth,US Dollar,55301
CHE,Switzerland,Household net financial wealth,US Dollar,100812
TUR,Turkey,Household net financial wealth,US Dollar,3317
GBR,United Kingdom,Household net financial wealth,US Dollar,60065
USA,United States,Household net financial wealth,US Dollar,132822
BRA,Brazil,Household net financial wealth,US Dollar,6875
CHL,Chile,Household net financial wealth,US Dollar,18141
EST,Estonia,Household net financial wealth,US Dollar,7843
ISR,Israel,Household net financial wealth,US Dollar,55932
RUS,Russia,Household net financial wealth,US Dollar,3331
SVN,Slovenia,Household net financial wealth,US Dollar,18912
AUS,Australia,Household net financial wealth,US Dollar,38482
AUT,Austria,Household net financial wealth,US Dollar,48125
BEL,Belgium,Household net financial wealth,US Dollar,78368
CAN,Canada,Household net financial wealth,US Dollar,63261
CZE,Czech Republic,Household net financial wealth,US Dollar,17875
DNK,Denmark,Household net financial wealth,US Dollar,39951
FIN,Finland,Household net financial wealth,US Dollar,20190
FRA,France,Household net financial wealth,US Dollar,47668
DEU,Germany,Household net financial wealth,US Dollar,49484
GRC,Greece,Household net financial wealth,US Dollar,14004
HUN,Hungary,Household net financial wealth,US Dollar,13652
ISL,Iceland,Household net financial wealth,US Dollar,43045
IRL,Ireland,Household net financial wealth,US Dollar,28099
ITA,Italy,Household net financial wealth,US Dollar,54147
JPN,Japan,Household net financial wealth,US Dollar,85309
KOR,Korea,Household net financial wealth,US Dollar,28290
LUX,Luxembourg,Household net financial wealth,US Dollar,57159
MEX,Mexico,Household net financial wealth,US Dollar,10449
NLD,Netherlands,Household net financial wealth,US Dollar,71073
NZL,New Zealand,Household net financial wealth,US Dollar,7480
NOR,Norway,Household net financial wealth,US Dollar,8365
POL,Poland,Household net financial wealth,US Dollar,10406
PRT,Portugal,Household net financial wealth,US Dollar,29640
SVK,Slovak Republic,Household net financial wealth,US Dollar,9651
ESP,Spain,Household net financial wealth,US Dollar,23920
SWE,Sweden,Household net financial wealth,US Dollar,55301
CHE,Switzerland,Household net financial wealth,US Dollar,100812
TUR,Turkey,Household net financial wealth,US Dollar,3317
GBR,United Kingdom,Household net financial wealth,US Dollar,60065
USA,United States,Household net financial wealth,US Dollar,132822
BRA,Brazil,Household net financial wealth,US Dollar,6875
CHL,Chile,Household net financial wealth,US Dollar,18141
EST,Estonia,Household net financial wealth,US Dollar,7843
ISR,Israel,Household net financial wealth,US Dollar,55932
RUS,Russia,Household net financial wealth,US Dollar,3331
SVN,Slovenia,Household net financial wealth,US Dollar,18912
AUS,Australia,Employment rate,Percentage,72
AUT,Austria,Employment rate,Percentage,73
BEL,Belgium,Employment rate,Percentage,62
CAN,Canada,Employment rate,Percentage,72
CZE,Czech Republic,Employment rate,Percentage,67
DNK,Denmark,Employment rate,Percentage,73
FIN,Finland,Employment rate,Percentage,70
FRA,France,Employment rate,Percentage,64
DEU,Germany,Employment rate,Percentage,73
GRC,Greece,Employment rate,Percentage,51
HUN,Hungary,Employment rate,Percentage,57
ISL,Iceland,Employment rate,Percentage,80
IRL,Ireland,Employment rate,Percentage,59
ITA,Italy,Employment rate,Percentage,58
JPN,Japan,Employment rate,Percentage,71
KOR,Korea,Employment rate,Percentage,64
LUX,Luxembourg,Employment rate,Percentage,66
MEX,Mexico,Employment rate,Percentage,61
NLD,Netherlands,Employment rate,Percentage,75
NZL,New Zealand,Employment rate,Percentage,72
NOR,Norway,Employment rate,Percentage,76
POL,Poland,Employment rate,Percentage,60
PRT,Portugal,Employment rate,Percentage,62
SVK,Slovak Republic,Employment rate,Percentage,60
ESP,Spain,Employment rate,Percentage,56
SWE,Sweden,Employment rate,Percentage,74
CHE,Switzerland,Employment rate,Percentage,79
TUR,Turkey,Employment rate,Percentage,49
GBR,United Kingdom,Employment rate,Percentage,71
USA,United States,Employment rate,Percentage,67
BRA,Brazil,Employment rate,Percentage,67
CHL,Chile,Employment rate,Percentage,62
EST,Estonia,Employment rate,Percentage,67
ISR,Israel,Employment rate,Percentage,67
RUS,Russia,Employment rate,Percentage,69
SVN,Slovenia,Employment rate,Percentage,64
AUS,Australia,Employment rate,Percentage,78
AUT,Austria,Employment rate,Percentage,78
BEL,Belgium,Employment rate,Percentage,67
CAN,Canada,Employment rate,Percentage,75
CZE,Czech Republic,Employment rate,Percentage,75
DNK,Denmark,Employment rate,Percentage,75
FIN,Finland,Employment rate,Percentage,71
FRA,France,Employment rate,Percentage,68
DEU,Germany,Employment rate,Percentage,78
GRC,Greece,Employment rate,Percentage,61
HUN,Hungary,Employment rate,Percentage,63
ISL,Iceland,Employment rate,Percentage,82
IRL,Ireland,Employment rate,Percentage,62
ITA,Italy,Employment rate,Percentage,68
JPN,Japan,Employment rate,Percentage,80
KOR,Korea,Employment rate,Percentage,75
LUX,Luxembourg,Employment rate,Percentage,72
MEX,Mexico,Employment rate,Percentage,79
NLD,Netherlands,Employment rate,Percentage,80
NZL,New Zealand,Employment rate,Percentage,78
NOR,Norway,Employment rate,Percentage,78
POL,Poland,Employment rate,Percentage,66
PRT,Portugal,Employment rate,Percentage,65
SVK,Slovak Republic,Employment rate,Percentage,67
ESP,Spain,Employment rate,Percentage,61
SWE,Sweden,Employment rate,Percentage,76
CHE,Switzerland,Employment rate,Percentage,85
TUR,Turkey,Employment rate,Percentage,69
GBR,United Kingdom,Employment rate,Percentage,76
USA,United States,Employment rate,Percentage,72
BRA,Brazil,Employment rate,Percentage,79
CHL,Chile,Employment rate,Percentage,74
EST,Estonia,Employment rate,Percentage,70
ISR,Israel,Employment rate,Percentage,71
RUS,Russia,Employment rate,Percentage,74
SVN,Slovenia,Employment rate,Percentage,67
AUS,Australia,Employment rate,Percentage,67
AUT,Austria,Employment rate,Percentage,67
BEL,Belgium,Employment rate,Percentage,57
CAN,Canada,Employment rate,Percentage,69
CZE,Czech Republic,Employment rate,Percentage,58
DNK,Denmark,Employment rate,Percentage,70
FIN,Finland,Employment rate,Percentage,68
FRA,France,Employment rate,Percentage,60
DEU,Germany,Employment rate,Percentage,68
GRC,Greece,Employment rate,Percentage,42
HUN,Hungary,Employment rate,Percentage,52
ISL,Iceland,Employment rate,Percentage,79
IRL,Ireland,Employment rate,Percentage,55
ITA,Italy,Employment rate,Percentage,48
JPN,Japan,Employment rate,Percentage,61
KOR,Korea,Employment rate,Percentage,53
LUX,Luxembourg,Employment rate,Percentage,59
MEX,Mexico,Employment rate,Percentage,45
NLD,Netherlands,Employment rate,Percentage,70
NZL,New Zealand,Employment rate,Percentage,67
NOR,Norway,Employment rate,Percentage,74
POL,Poland,Employment rate,Percentage,53
PRT,Portugal,Employment rate,Percentage,59
SVK,Slovak Republic,Employment rate,Percentage,53
ESP,Spain,Employment rate,Percentage,51
SWE,Sweden,Employment rate,Percentage,72
CHE,Switzerland,Employment rate,Percentage,74
TUR,Turkey,Employment rate,Percentage,29
GBR,United Kingdom,Employment rate,Percentage,66
USA,United States,Employment rate,Percentage,62
BRA,Brazil,Employment rate,Percentage,55
CHL,Chile,Employment rate,Percentage,50
EST,Estonia,Employment rate,Percentage,65
ISR,Israel,Employment rate,Percentage,62
RUS,Russia,Employment rate,Percentage,65
SVN,Slovenia,Employment rate,Percentage,61
AUS,Australia,Employment rate,Percentage,83
AUT,Austria,Employment rate,Percentage,86
BEL,Belgium,Employment rate,Percentage,82
CAN,Canada,Employment rate,Percentage,81
CZE,Czech Republic,Employment rate,Percentage,82
DNK,Denmark,Employment rate,Percentage,85
FIN,Finland,Employment rate,Percentage,85
FRA,France,Employment rate,Percentage,81
DEU,Germany,Employment rate,Percentage,88
GRC,Greece,Employment rate,Percentage,68
HUN,Hungary,Employment rate,Percentage,80
ISL,Iceland,Employment rate,Percentage,90
IRL,Ireland,Employment rate,Percentage,79
ITA,Italy,Employment rate,Percentage,77
JPN,Japan,Employment rate,Percentage,81
KOR,Korea,Employment rate,Percentage,77
LUX,Luxembourg,Employment rate,Percentage,85
MEX,Mexico,Employment rate,Percentage,71
NLD,Netherlands,Employment rate,Percentage,87
NZL,New Zealand,Employment rate,Percentage,83
NOR,Norway,Employment rate,Percentage,90
POL,Poland,Employment rate,Percentage,83
PRT,Portugal,Employment rate,Percentage,78
SVK,Slovak Republic,Employment rate,Percentage,77
ESP,Spain,Employment rate,Percentage,74
SWE,Sweden,Employment rate,Percentage,88
CHE,Switzerland,Employment rate,Percentage,88
TUR,Turkey,Employment rate,Percentage,73
GBR,United Kingdom,Employment rate,Percentage,83
USA,United States,Employment rate,Percentage,80
BRA,Brazil,Employment rate,Percentage,84
CHL,Chile,Employment rate,Percentage,70
EST,Estonia,Employment rate,Percentage,82
ISR,Israel,Employment rate,Percentage,89
RUS,Russia,Employment rate,Percentage,83
SVN,Slovenia,Employment rate,Percentage,85
AUS,Australia,Employment rate,Percentage,59
AUT,Austria,Employment rate,Percentage,50
BEL,Belgium,Employment rate,Percentage,38
CAN,Canada,Employment rate,Percentage,47
CZE,Czech Republic,Employment rate,Percentage,22
DNK,Denmark,Employment rate,Percentage,57
FIN,Finland,Employment rate,Percentage,41
FRA,France,Employment rate,Percentage,45
DEU,Germany,Employment rate,Percentage,46
GRC,Greece,Employment rate,Percentage,41
HUN,Hungary,Employment rate,Percentage,26
ISL,Iceland,Employment rate,Percentage,70
IRL,Ireland,Employment rate,Percentage,35
ITA,Italy,Employment rate,Percentage,44
JPN,Japan,Employment rate,Percentage,69
KOR,Korea,Employment rate,Percentage,45
LUX,Luxembourg,Employment rate,Percentage,45
MEX,Mexico,Employment rate,Percentage,59
NLD,Netherlands,Employment rate,Percentage,60
NZL,New Zealand,Employment rate,Percentage,57
NOR,Norway,Employment rate,Percentage,62
POL,Poland,Employment rate,Percentage,24
PRT,Portugal,Employment rate,Percentage,57
SVK,Slovak Republic,Employment rate,Percentage,15
ESP,Spain,Employment rate,Percentage,49
SWE,Sweden,Employment rate,Percentage,49
CHE,Switzerland,Employment rate,Percentage,45
TUR,Turkey,Employment rate,Percentage,46
GBR,United Kingdom,Employment rate,Percentage,55
USA,United States,Employment rate,Percentage,34
BRA,Brazil,Employment rate,Percentage,60
CHL,Chile,Employment rate,Percentage,58
EST,Estonia,Employment rate,Percentage,32
ISR,Israel,Employment rate,Percentage,33
RUS,Russia,Employment rate,Percentage,28
SVN,Slovenia,Employment rate,Percentage,35
AUS,Australia,Job security,Percentage,4.4
AUT,Austria,Job security,Percentage,3.4
BEL,Belgium,Job security,Percentage,4.5
CAN,Canada,Job security,Percentage,6.6
CZE,Czech Republic,Job security,Percentage,4.2
DNK,Denmark,Job security,Percentage,5.8
FIN,Finland,Job security,Percentage,6.4
FRA,France,Job security,Percentage,6.5
DEU,Germany,Job security,Percentage,3.2
GRC,Greece,Job security,Percentage,12
HUN,Hungary,Job security,Percentage,6.7
ISL,Iceland,Job security,Percentage,4.3
IRL,Ireland,Job security,Percentage,6.4
ITA,Italy,Job security,Percentage,5.5
JPN,Japan,Job security,Percentage,2.9
KOR,Korea,Job security,Percentage,3
LUX,Luxembourg,Job security,Percentage,4
MEX,Mexico,Job security,Percentage,4.7
NLD,Netherlands,Job security,Percentage,3.6
NZL,New Zealand,Job security,Percentage,5.8
NOR,Norway,Job security,Percentage,2.9
POL,Poland,Job security,Percentage,7.3
PRT,Portugal,Job security,Percentage,9.1
SVK,Slovak Republic,Job security,Percentage,5.8
ESP,Spain,Job security,Percentage,17.7
SWE,Sweden,Job security,Percentage,6.5
CHE,Switzerland,Job security,Percentage,2.8
TUR,Turkey,Job security,Percentage,7.8
GBR,United Kingdom,Job security,Percentage,5.6
USA,United States,Job security,Percentage,6.3
BRA,Brazil,Job security,Percentage,4.8
CHL,Chile,Job security,Percentage,4.7
EST,Estonia,Job security,Percentage,5.3
ISR,Israel,Job security,Percentage,6.5
RUS,Russia,Job security,Percentage,4
SVN,Slovenia,Job security,Percentage,5
AUS,Australia,Job security,Percentage,4.3
AUT,Austria,Job security,Percentage,3.4
BEL,Belgium,Job security,Percentage,4.5
CAN,Canada,Job security,Percentage,7
CZE,Czech Republic,Job security,Percentage,3.6
DNK,Denmark,Job security,Percentage,5.8
FIN,Finland,Job security,Percentage,6.5
FRA,France,Job security,Percentage,6.3
DEU,Germany,Job security,Percentage,3.2
GRC,Greece,Job security,Percentage,10.8
HUN,Hungary,Job security,Percentage,6.8
ISL,Iceland,Job security,Percentage,4.6
IRL,Ireland,Job security,Percentage,6.7
ITA,Italy,Job security,Percentage,5.2
JPN,Japan,Job security,Percentage,2.6
KOR,Korea,Job security,Percentage,3.1
LUX,Luxembourg,Job security,Percentage,3.5
MEX,Mexico,Job security,Percentage,4.6
NLD,Netherlands,Job security,Percentage,3.6
NZL,New Zealand,Job security,Percentage,5.3
NOR,Norway,Job security,Percentage,3.3
POL,Poland,Job security,Percentage,6.9
PRT,Portugal,Job security,Percentage,9
SVK,Slovak Republic,Job security,Percentage,5.4
ESP,Spain,Job security,Percentage,17.5
SWE,Sweden,Job security,Percentage,6.6
CHE,Switzerland,Job security,Percentage,2.7
TUR,Turkey,Job security,Percentage,7.5
GBR,United Kingdom,Job security,Percentage,5.6
USA,United States,Job security,Percentage,6.4
BRA,Brazil,Job security,Percentage,3.8
CHL,Chile,Job security,Percentage,4.1
EST,Estonia,Job security,Percentage,5.7
ISR,Israel,Job security,Percentage,6.4
RUS,Russia,Job security,Percentage,4.4
SVN,Slovenia,Job security,Percentage,4.6
AUS,Australia,Job security,Percentage,4.6
AUT,Austria,Job security,Percentage,3.5
BEL,Belgium,Job security,Percentage,4.6
CAN,Canada,Job security,Percentage,6.1
CZE,Czech Republic,Job security,Percentage,4.9
DNK,Denmark,Job security,Percentage,5.9
FIN,Finland,Job security,Percentage,6.2
FRA,France,Job security,Percentage,6.7
DEU,Germany,Job security,Percentage,3.1
GRC,Greece,Job security,Percentage,13.7
HUN,Hungary,Job security,Percentage,6.6
ISL,Iceland,Job security,Percentage,3.9
IRL,Ireland,Job security,Percentage,6.2
ITA,Italy,Job security,Percentage,6.1
JPN,Japan,Job security,Percentage,3.2
KOR,Korea,Job security,Percentage,2.9
LUX,Luxembourg,Job security,Percentage,4.6
MEX,Mexico,Job security,Percentage,4.8
NLD,Netherlands,Job security,Percentage,3.6
NZL,New Zealand,Job security,Percentage,6.3
NOR,Norway,Job security,Percentage,2.4
POL,Poland,Job security,Percentage,7.9
PRT,Portugal,Job security,Percentage,9.2
SVK,Slovak Republic,Job security,Percentage,6.3
ESP,Spain,Job security,Percentage,17.9
SWE,Sweden,Job security,Percentage,6.4
CHE,Switzerland,Job security,Percentage,2.9
TUR,Turkey,Job security,Percentage,8.6
GBR,United Kingdom,Job security,Percentage,5.6
USA,United States,Job security,Percentage,6.2
BRA,Brazil,Job security,Percentage,4.8
CHL,Chile,Job security,Percentage,5.3
EST,Estonia,Job security,Percentage,4.9
ISR,Israel,Job security,Percentage,6.7
RUS,Russia,Job security,Percentage,3.7
SVN,Slovenia,Job security,Percentage,5.4
AUS,Australia,Long-term unemployment rate,Percentage,1.06
AUT,Austria,Long-term unemployment rate,Percentage,1.07
BEL,Belgium,Long-term unemployment rate,Percentage,3.37
CAN,Canada,Long-term unemployment rate,Percentage,0.9
CZE,Czech Republic,Long-term unemployment rate,Percentage,3.03
DNK,Denmark,Long-term unemployment rate,Percentage,2.11
FIN,Finland,Long-term unemployment rate,Percentage,1.65
FRA,France,Long-term unemployment rate,Percentage,3.98
DEU,Germany,Long-term unemployment rate,Percentage,2.52
GRC,Greece,Long-term unemployment rate,Percentage,14.37
HUN,Hungary,Long-term unemployment rate,Percentage,5.05
ISL,Iceland,Long-term unemployment rate,Percentage,1.68
IRL,Ireland,Long-term unemployment rate,Percentage,9.24
ITA,Italy,Long-term unemployment rate,Percentage,5.67
JPN,Japan,Long-term unemployment rate,Percentage,1.67
KOR,Korea,Long-term unemployment rate,Percentage,0.01
LUX,Luxembourg,Long-term unemployment rate,Percentage,1.56
MEX,Mexico,Long-term unemployment rate,Percentage,0.09
NLD,Netherlands,Long-term unemployment rate,Percentage,1.78
NZL,New Zealand,Long-term unemployment rate,Percentage,0.91
NOR,Norway,Long-term unemployment rate,Percentage,0.28
POL,Poland,Long-term unemployment rate,Percentage,3.51
PRT,Portugal,Long-term unemployment rate,Percentage,7.62
SVK,Slovak Republic,Long-term unemployment rate,Percentage,8.89
ESP,Spain,Long-term unemployment rate,Percentage,11.13
SWE,Sweden,Long-term unemployment rate,Percentage,1.4
CHE,Switzerland,Long-term unemployment rate,Percentage,1.48
TUR,Turkey,Long-term unemployment rate,Percentage,2.29
GBR,United Kingdom,Long-term unemployment rate,Percentage,2.75
USA,United States,Long-term unemployment rate,Percentage,2.36
BRA,Brazil,Long-term unemployment rate,Percentage,2.17
CHL,Chile,Long-term unemployment rate,Percentage,2.01
EST,Estonia,Long-term unemployment rate,Percentage,5.46
ISR,Israel,Long-term unemployment rate,Percentage,0.91
RUS,Russia,Long-term unemployment rate,Percentage,1.69
SVN,Slovenia,Long-term unemployment rate,Percentage,4.23
AUS,Australia,Long-term unemployment rate,Percentage,1.09
AUT,Austria,Long-term unemployment rate,Percentage,1.11
BEL,Belgium,Long-term unemployment rate,Percentage,3.52
CAN,Canada,Long-term unemployment rate,Percentage,0.98
CZE,Czech Republic,Long-term unemployment rate,Percentage,2.51
DNK,Denmark,Long-term unemployment rate,Percentage,2.14
FIN,Finland,Long-term unemployment rate,Percentage,2.06
FRA,France,Long-term unemployment rate,Percentage,4
DEU,Germany,Long-term unemployment rate,Percentage,2.71
GRC,Greece,Long-term unemployment rate,Percentage,12.1
HUN,Hungary,Long-term unemployment rate,Percentage,5.23
ISL,Iceland,Long-term unemployment rate,Percentage,1.75
IRL,Ireland,Long-term unemployment rate,Percentage,12.37
ITA,Italy,Long-term unemployment rate,Percentage,5.08
JPN,Japan,Long-term unemployment rate,Percentage,2.11
KOR,Korea,Long-term unemployment rate,Percentage,0.01
LUX,Luxembourg,Long-term unemployment rate,Percentage,1.3
MEX,Mexico,Long-term unemployment rate,Percentage,0.08
NLD,Netherlands,Long-term unemployment rate,Percentage,1.84
NZL,New Zealand,Long-term unemployment rate,Percentage,0.92
NOR,Norway,Long-term unemployment rate,Percentage,0.34
POL,Poland,Long-term unemployment rate,Percentage,3.2
PRT,Portugal,Long-term unemployment rate,Percentage,7.66
SVK,Slovak Republic,Long-term unemployment rate,Percentage,8.8
ESP,Spain,Long-term unemployment rate,Percentage,10.76
SWE,Sweden,Long-term unemployment rate,Percentage,1.58
CHE,Switzerland,Long-term unemployment rate,Percentage,1.32
TUR,Turkey,Long-term unemployment rate,Percentage,1.81
GBR,United Kingdom,Long-term unemployment rate,Percentage,3.2
USA,United States,Long-term unemployment rate,Percentage,2.44
BRA,Brazil,Long-term unemployment rate,Percentage,2.18
CHL,Chile,Long-term unemployment rate,Percentage,2.02
EST,Estonia,Long-term unemployment rate,Percentage,6.02
ISR,Israel,Long-term unemployment rate,Percentage,0.9
RUS,Russia,Long-term unemployment rate,Percentage,1.76
SVN,Slovenia,Long-term unemployment rate,Percentage,4.09
AUS,Australia,Long-term unemployment rate,Percentage,1.024861
AUT,Austria,Long-term unemployment rate,Percentage,1.021201
BEL,Belgium,Long-term unemployment rate,Percentage,3.190288
CAN,Canada,Long-term unemployment rate,Percentage,0.826211
CZE,Czech Republic,Long-term unemployment rate,Percentage,3.691716
DNK,Denmark,Long-term unemployment rate,Percentage,2.07828
FIN,Finland,Long-term unemployment rate,Percentage,1.200141
FRA,France,Long-term unemployment rate,Percentage,3.951675
DEU,Germany,Long-term unemployment rate,Percentage,2.306091
GRC,Greece,Long-term unemployment rate,Percentage,17.42861
HUN,Hungary,Long-term unemployment rate,Percentage,4.846185
ISL,Iceland,Long-term unemployment rate,Percentage,1.614746
IRL,Ireland,Long-term unemployment rate,Percentage,5.393908
ITA,Italy,Long-term unemployment rate,Percentage,6.490257
JPN,Japan,Long-term unemployment rate,Percentage,1.077302
KOR,Korea,Long-term unemployment rate,Percentage,0.010368
LUX,Luxembourg,Long-term unemployment rate,Percentage,1.875709
MEX,Mexico,Long-term unemployment rate,Percentage,0.108317
NLD,Netherlands,Long-term unemployment rate,Percentage,1.702632
NZL,New Zealand,Long-term unemployment rate,Percentage,0.905021
NOR,Norway,Long-term unemployment rate,Percentage,0.206034
POL,Poland,Long-term unemployment rate,Percentage,3.880038
PRT,Portugal,Long-term unemployment rate,Percentage,7.584437
SVK,Slovak Republic,Long-term unemployment rate,Percentage,9.010596
ESP,Spain,Long-term unemployment rate,Percentage,11.56583
SWE,Sweden,Long-term unemployment rate,Percentage,1.188768
CHE,Switzerland,Long-term unemployment rate,Percentage,1.66776
TUR,Turkey,Long-term unemployment rate,Percentage,3.433646
GBR,United Kingdom,Long-term unemployment rate,Percentage,2.221508
USA,United States,Long-term unemployment rate,Percentage,2.280097
BRA,Brazil,Long-term unemployment rate,Percentage,2.094624
CHL,Chile,Long-term unemployment rate,Percentage,1.938295
EST,Estonia,Long-term unemployment rate,Percentage,4.901571
ISR,Israel,Long-term unemployment rate,Percentage,0.916026
RUS,Russia,Long-term unemployment rate,Percentage,1.613013
SVN,Slovenia,Long-term unemployment rate,Percentage,4.40026
AUS,Australia,Long-term unemployment rate,Percentage,0.64
AUT,Austria,Long-term unemployment rate,Percentage,0.58
BEL,Belgium,Long-term unemployment rate,Percentage,1.8
CAN,Canada,Long-term unemployment rate,Percentage,0.64
CZE,Czech Republic,Long-term unemployment rate,Percentage,1.15
DNK,Denmark,Long-term unemployment rate,Percentage,1.46
FIN,Finland,Long-term unemployment rate,Percentage,0.84
FRA,France,Long-term unemployment rate,Percentage,2.34
DEU,Germany,Long-term unemployment rate,Percentage,1.06
GRC,Greece,Long-term unemployment rate,Percentage,11.46
HUN,Hungary,Long-term unemployment rate,Percentage,2.08
ISL,Iceland,Long-term unemployment rate,Percentage,1.07
IRL,Ireland,Long-term unemployment rate,Percentage,4.89
ITA,Italy,Long-term unemployment rate,Percentage,3.69
JPN,Japan,Long-term unemployment rate,Percentage,1.22
KOR,Korea,Long-term unemployment rate,Percentage,0.01
LUX,Luxembourg,Long-term unemployment rate,Percentage,1.1
MEX,Mexico,Long-term unemployment rate,Percentage,0.11
NLD,Netherlands,Long-term unemployment rate,Percentage,1.13
NZL,New Zealand,Long-term unemployment rate,Percentage,0.61
NOR,Norway,Long-term unemployment rate,Percentage,0.12
POL,Poland,Long-term unemployment rate,Percentage,1.93
PRT,Portugal,Long-term unemployment rate,Percentage,5.54
SVK,Slovak Republic,Long-term unemployment rate,Percentage,3.83
ESP,Spain,Long-term unemployment rate,Percentage,6.5
SWE,Sweden,Long-term unemployment rate,Percentage,0.68
CHE,Switzerland,Long-term unemployment rate,Percentage,1
TUR,Turkey,Long-term unemployment rate,Percentage,2.46
GBR,United Kingdom,Long-term unemployment rate,Percentage,1.59
USA,United States,Long-term unemployment rate,Percentage,1.36
BRA,Brazil,Long-term unemployment rate,Percentage,1.13
CHL,Chile,Long-term unemployment rate,Percentage,1.95
EST,Estonia,Long-term unemployment rate,Percentage,3.61
ISR,Israel,Long-term unemployment rate,Percentage,0.67
RUS,Russia,Long-term unemployment rate,Percentage,1.12
SVN,Slovenia,Long-term unemployment rate,Percentage,2.57
AUS,Australia,Long-term unemployment rate,Percentage,1.79
AUT,Austria,Long-term unemployment rate,Percentage,2.21
BEL,Belgium,Long-term unemployment rate,Percentage,6.64
CAN,Canada,Long-term unemployment rate,Percentage,1.94
CZE,Czech Republic,Long-term unemployment rate,Percentage,11.12
DNK,Denmark,Long-term unemployment rate,Percentage,3.22
FIN,Finland,Long-term unemployment rate,Percentage,3.55
FRA,France,Long-term unemployment rate,Percentage,6.58
DEU,Germany,Long-term unemployment rate,Percentage,5.74
GRC,Greece,Long-term unemployment rate,Percentage,14.98
HUN,Hungary,Long-term unemployment rate,Percentage,11.53
ISL,Iceland,Long-term unemployment rate,Percentage,2.53
IRL,Ireland,Long-term unemployment rate,Percentage,15.28
ITA,Italy,Long-term unemployment rate,Percentage,7.29
JPN,Japan,Long-term unemployment rate,Percentage,2.1
KOR,Korea,Long-term unemployment rate,Percentage,0.01
LUX,Luxembourg,Long-term unemployment rate,Percentage,2.4
MEX,Mexico,Long-term unemployment rate,Percentage,0.09
NLD,Netherlands,Long-term unemployment rate,Percentage,2.75
NZL,New Zealand,Long-term unemployment rate,Percentage,1.49
NOR,Norway,Long-term unemployment rate,Percentage,0.58
POL,Poland,Long-term unemployment rate,Percentage,6.97
PRT,Portugal,Long-term unemployment rate,Percentage,8.76
SVK,Slovak Republic,Long-term unemployment rate,Percentage,28.16
ESP,Spain,Long-term unemployment rate,Percentage,14.47
SWE,Sweden,Long-term unemployment rate,Percentage,3.22
CHE,Switzerland,Long-term unemployment rate,Percentage,3.79
TUR,Turkey,Long-term unemployment rate,Percentage,2.23
GBR,United Kingdom,Long-term unemployment rate,Percentage,4.57
USA,United States,Long-term unemployment rate,Percentage,5.32
BRA,Brazil,Long-term unemployment rate,Percentage,2.8
